project	key	title	abstract	doi	decision	mode	exclusion_criteria	reviewer_count
RL4SE	Abdelmoaty2022	Resilient Topology Design for Wireless Backhaul: A Deep Reinforcement Learning Approach	Ultra-dense 5G and beyond deployments are setting significant burden on cellular networks, especially for wireless backhauls. Today, a careful planning for wireless backhaul is more critical than ever. In this letter, we study the hierarchical wireless backhaul topology design problem. We introduce a Deep Reinforcement Learning (DRL) based algorithm that can solve the problem efficiently. We compare the quality of the solutions derived by our DRL approach to the optimal solution, derived according to the Integer Linear Program (ILP) formulation in our previous work. A simulation using practical channel propagation scenarios and different network densities proves that our DRL-based algorithm is providing a sub-optimal solution with different levels of resiliency. Our DRL algorithm is further shown to scale for larger instances of the problem.	https://dx.doi.org/10.1109/LWC.2022.3207358	Excluded	new_screen	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Abdulrahman2022	Reinforcement-learning-based damping control scheme of a PV plant in wide-area measurement system		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135556791&doi=10.1007\%2fs00202-022-01615-3&partnerID=40&md5=2a201de2174f125867277d60badb5e45	Excluded	new_screen	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Abichandani2022	Design and Implementation of Closed Loop Control of PSFB Topology Using Artificial Intelligence		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141558490&doi=10.4271\%2f2022-28-0121&partnerID=40&md5=2b8c8cfc78f84c5d35f722203ce067c8	Excluded	new_screen	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Abichandani2021	Implementation of Decentralized Reinforcement Learning-Based Multi-Quadrotor Flocking	Enabling coordinated motion of multiple quadrotors is an active area of research in the field of small unmanned aerial vehicles (sUAVs). While there are many techniques found in the literature that address the problem, these studies are limited to simulation results and seldom account for wind disturbances. This paper presents the experimental validation of a decentralized planner based on multi-objective reinforcement learning (RL) that achieves waypoint-based flocking (separation, velocity alignment, and cohesion) for multiple quadrotors in the presence of wind gusts. The planner is learned using an object-focused, greatest mass, state-action-reward-state-action (OF-GM-SARSA) approach. The Dryden wind gust model is used to simulate wind gusts during hardware-in-the-loop (HWIL) tests. The hardware and software architecture developed for the multi-quadrotor flocking controller is described in detail. HWIL and outdoor flight tests results show that the trained RL planner can generalize the flocking behaviors learned in training to the real-world flight dynamics of the DJI M100 quadrotor in windy conditions.	https://dx.doi.org/10.1109/ACCESS.2021.3115711	Excluded	conflict_resolution	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Abirami2022	Crypto-Deep Reinforcement Learning Based Cloud Security For Trusted Communication	One of the most essential business models in modern information technology is cloud computing. It offers a variety of services for user interaction as well as low-cost hardware and software. Cloud services are built on newline virtualization designs that use multi-tenancy for improved resource management and newline strong isolation across several Virtual Machines (VMs). Despite advancements in virtualization, data security and isolation assurances continue to be the major difficulties faced by cloud providers using existing approaches. To overcome this problem, Deep Reinforcement Learning is applied to offload the task and also to detect the generalized attackers in the cloud network. This proposed solution enables remote data monitoring approaches such as identity-based linear classification algorithms for VM attack classification channels. It can minimise data secrecy and increase communication by using a reinforcement learning technique. The attacker channel is identified using identity-based linear classification when data is transferred/retrieved from the VM cloud server. When the classifier finds channel misbehaviour, the port or channel may be blocked, and the communication of other accessible ports may be modified maintaining the end to end communication secrecy using the improved Multi Agent Deep Reinforcement Learning (MADRL). The service verification is done to ensure that users have secure access to the cloud server. When an unknown request to the cloud server runs the key authentication to check the user authorization, this linear classification trains the existingside-channel attack datasets to the classifier and detects the VM cloud's attack channel. In terms of overall performance, the proposed methodology is investigated and compared to the existing approaches.	https://dx.doi.org/10.1109/ICSSIT53264.2022.9716429	Excluded	conflict_resolution	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Abrazeh2023	Virtual Hardware-in-the-Loop FMU Co-Simulation Based Digital Twins for Heating, Ventilation, and Air-Conditioning (HVAC) Systems	In this paper, a novel self-adaptive control method based on a digital twin is developed and investigated for a multi-input multi-output (MIMO) nonlinear system, which is a heating, ventilation, and air-conditioning system. For this purpose, hardware-in-loop (HIL) and software-in-loop (SIL) are integrated to develop the digital twin control concept in a straightforward manner. A nonlinear integral backstepping (NIB) model-free control technique is integrated with the HIL (implemented as a physical controller) and SIL (implemented as a virtual controller) controllers to control the HVAC system without the need for dynamic feature identification. The main goal is to design the virtual controller to minimize the distinction between system outputs in the SIL and HIL setups. For this purpose, Deep Reinforcement Learning (DRL) is applied to update the NIB controller coefficients of the virtual controller based on the measured data of the physical controller. Since the temperature and humidity of HVAC systems should be regulated, the NIB controllers in the HIL and SIL are designed by the DRL algorithm in a multi-objective scheme (MO). In particular, the simulations of the HIL and SIL environments are coupled by a new advanced tool: function mockup interface (FMI) standard. The Functional Mock-up Unit (FMU) is adopted into the FMI interface for data exchange. The extensive research of HIL and SIL controllers shows that the system outputs of the virtual controller are controlled exactly according to the physical controller.	https://dx.doi.org/10.1109/TETCI.2022.3168507	Excluded	new_screen	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Achamrah2022	Bi-level programming for modeling inventory sharing in decentralized supply chains		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127480149&doi=10.1016\%2fj.trpro.2022.02.064&partnerID=40&md5=abb94485282c37def68c3e904694b8de	Excluded	new_screen	E1: Does not define or use a RL method,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Adel2021	A Multi-agent Reinforcement Learning Risk Management Model for Distributed Agile Software Projects	Nowadays, due to the benefits of the agile method, such as changing rapidly and fast delivery of working software, most software projects are naturally distributed agile projects (DAD). DAD team members work from various remote sites. This leads to the emergence of many significant challenges in risk management. Hence, it requires risk safety techniques to be implemented to mitigate the occurrence of risks. There is no standardized process for teams to deal with DAD risks. In this paper, a multi-agent reinforcement learning risk management model for distributed agile software projects is proposed. The proposed model is implemented to apply a dynamic policy. The model is applied as an experiment to definite numbers for a set of risk factors such as communication and coordination risk, project management risk, and SDLC risk. The proposed model is developed using multiple individual learning using the Q- learning algorithm. A DAD project with two projects is used to evaluate the proposed model. The proposed model was assessed and analyzed for its effectiveness. The results of the evaluation are given.	https://dx.doi.org/10.1109/ICICIS52592.2021.9694252	Included	new_screen		6
RL4SE	Adriaenssens2022	Learning to Ascend Stairs and Ramps: Deep Reinforcement Learning for a Physics-Based Human Musculoskeletal Model	This paper proposes to use deep reinforcement learning to teach a physics-based human musculoskeletal model to ascend stairs and ramps. The deep reinforcement learning architecture employs the proximal policy optimization algorithm combined with imitation learning and is trained with experimental data of a public dataset. The human model is developed in the open-source simulation software OpenSim, together with two objects (i.e., the stairs and ramp) and the elastic foundation contact dynamics. The model can learn to ascend stairs and ramps with muscle forces comparable to healthy subjects and with a forward dynamics comparable to the experimental training data, achieving an average correlation of 0.82 during stair ascent and of 0.58 during ramp ascent across both the knee and ankle joints.	https://www.ncbi.nlm.nih.gov/pubmed/36366177	Excluded	new_screen	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Aghli2018	A reinforcement learning approach to autonomous speed control in robotic systems			Excluded	conflict_resolution	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Agrawal2021	A multi-agent reinforcement learning framework for intelligent manufacturing with autonomous mobile robots		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117824775&doi=10.1017\%2fpds.2021.17&partnerID=40&md5=158b6e89fc56ce84df98a40148f321f1	Excluded	conflict_resolution	E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Aguirre2021	A pre-expectation calculus for probabilistic sensitivity		https://doi.org/10.1145/3434333	Excluded	new_screen	E2: Software engineering is not the problem RL is used for,E1: Does not define or use a RL method,E1: Does not define or use a RL method,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for,E2: Software engineering is not the problem RL is used for	6
RL4SE	Aguzzi2022	Addressing Collective Computations Efficiency: Towards a Platform-level Reinforcement Learning Approach	Aggregate Computing is a macro-level approach for programming collective intelligence and self-organisation in distributed systems. In this paradigm, system behaviour unfolds as a combination of a system-wide program, functionally manipulating distributed data structures called computational fields, and a distributed protocol where devices work at asynchronous rounds comprising sense-compute-interact steps. Interestingly, there exists a large amount of flexibility in how aggregate systems could actually execute while preserving the desired functionality. The ideal place for making choices about execution is the aggregate computing platform (or middleware), which can be engineered with the goal of promoting efficiency and other non-functional goals. In this work, we explore the possibility of applying Reinforcement Learning at the platform level in order to optimise aspects of a collective computation while achieving coherent functional goals. This idea is substantiated through synthetic experiments of data propagation and collection, where we show how Q-Learning could reduce the power consumption of aggregate computations.	https://dx.doi.org/10.1109/ACSOS55765.2022.00019	Included	conflict_resolution		6
