Project,Prompt,Dataset,Article,Confidence,Decision,is_true,ParsedDecision_U2,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,10b8a793-5b5d-4b61-8412-3c7881d71bcc,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,ab52616c-c867-46c2-a753-d0d054b03cc8,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,9a50750e-d524-4039-99bc-92b42fbbd715,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,34dd9ba5-b285-4b96-86eb-defc855648c3,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,246baf8e-c7cf-436a-889c-0cb3f47d9da3,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,41f275e9-8dd3-49b9-805b-2cfb05181fd2,5.0,UK,False,MAYBE_INCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,cf356f1a-c3af-41cf-b29c-6018cbac4cc9,8.0,FP,False,INCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,73be4ba8-cf1e-4a7e-814a-5cb80d7b2ccb,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,ee2f72ee-f8d8-44e9-9af4-08e5ea42edd9,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,3f961bdd-734d-473d-b81a-28494c6d292b,10.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,823b774f-bc2e-4395-815b-03018a77d636,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,8a272a98-f77b-4558-b55a-c77d5c257978,8.0,TN,True,EXCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,156b89dd-a191-43cf-9f0e-55ba685defbc,8.0,FP,False,INCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,e7f45683-4c5f-4ea1-ab6f-31b5c3fe6842,8.0,FP,False,INCLUDE,
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SIMPLE-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SIMPLE,LC,ac036901-778d-4798-973a-be2dd427c55f,4.0,UK,False,MAYBE_INCLUDE,
