Project,Prompt,Dataset,Article,Confidence,Decision,is_true,ParsedDecision_U2
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,ab52616c-c867-46c2-a753-d0d054b03cc8,9.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,9a50750e-d524-4039-99bc-92b42fbbd715,8.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,34dd9ba5-b285-4b96-86eb-defc855648c3,8.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,246baf8e-c7cf-436a-889c-0cb3f47d9da3,9.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,41f275e9-8dd3-49b9-805b-2cfb05181fd2,9.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,cf356f1a-c3af-41cf-b29c-6018cbac4cc9,8.0,FP,False,INCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,73be4ba8-cf1e-4a7e-814a-5cb80d7b2ccb,8.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,ee2f72ee-f8d8-44e9-9af4-08e5ea42edd9,8.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,3f961bdd-734d-473d-b81a-28494c6d292b,10.0,TN,True,EXCLUDE
Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RQy-SELECTION-LC-FINAL-GPT-4-TURBO,Std-U2-Cy-SH0-RQy-SELECTION,LC,823b774f-bc2e-4395-815b-03018a77d636,8.0,TN,True,EXCLUDE
