,SELECTION_Decision,COT_Decision
003006a3-56cd-45bc-84aa-d1fc9cbfb817,EXCLUDE,EXCLUDE
003a5dc9-6e67-497c-b736-9d0ee38b4eaa,EXCLUDE,EXCLUDE
0044b44f-b7a7-4b2f-a4f6-b12634a9d9d5,EXCLUDE,EXCLUDE
004db355-7ade-4636-b377-47bf8035521e,EXCLUDE,EXCLUDE
004fac83-6fd8-4b86-a9df-eadd38f850df,INCLUDE,INCLUDE
00532dbf-d34d-4b0e-bbb5-5495fc30e504,EXCLUDE,EXCLUDE
00543b34-093e-405c-8fd1-1252cbb84ac8,EXCLUDE,EXCLUDE
0060aa2a-b3fa-4c0d-8bb4-81e0515fe2b8,INCLUDE,INCLUDE
006a6ada-3e69-475a-9ce1-c2cd0e64a81b,EXCLUDE,EXCLUDE
007e3285-b7df-4960-911d-c1fbbf350c5d,EXCLUDE,EXCLUDE
007fb201-0385-4241-ab74-e295f85cad2c,EXCLUDE,EXCLUDE
008156e9-edb8-4509-9883-968253317d1d,EXCLUDE,EXCLUDE
009080e4-70c2-468a-a49f-d4665303d445,EXCLUDE,INCLUDE
00916cd4-f5c4-41da-9640-8467dbc36115,INCLUDE,INCLUDE
00924336-5efe-4585-9c2e-aad1e45d008a,EXCLUDE,EXCLUDE
009500fd-6950-490b-97d7-f5bece93b41f,EXCLUDE,EXCLUDE
00960664-9424-4420-9523-768fa87997e5,INCLUDE,INCLUDE
00a6a860-e935-438d-9d02-059992b8036f,EXCLUDE,EXCLUDE
00a7256f-56e7-43d4-94c8-ae780699433f,EXCLUDE,EXCLUDE
00aa14af-6e7f-4f2c-bf97-b2e232371f57,EXCLUDE,EXCLUDE
00bdc338-953d-4a24-b5e9-6435250d8fe8,INCLUDE,INCLUDE
00def86b-d8c9-4287-881d-a34eed5f2814,INCLUDE,INCLUDE
00e106c6-8c2d-4cf9-9c1d-272b6f9a2796,EXCLUDE,EXCLUDE
00e5a604-b557-4008-bc78-e3e9873f01e9,EXCLUDE,EXCLUDE
00ee4616-1321-4f76-93e8-84ee98ddcb4e,EXCLUDE,EXCLUDE
00f8891d-a080-4598-8bd1-db97ab90a174,INCLUDE,INCLUDE
00fc68df-e17c-45fc-b759-8b4a12d1024b,INCLUDE,INCLUDE
010d1a3e-d067-4832-ab8f-c9e86fafa490,INCLUDE,EXCLUDE
012a56cb-01d9-48a3-9d2f-5398a1c6f300,EXCLUDE,EXCLUDE
0131a01c-1b8f-42b0-9716-2ba8e63802c5,INCLUDE,INCLUDE
01329db2-16c5-4012-a917-6569df607c5a,INCLUDE,INCLUDE
013e2746-6914-45cd-8e70-653844c9290a,EXCLUDE,EXCLUDE
0152a527-4204-4a21-b461-17c6b8ef07d4,EXCLUDE,EXCLUDE
015d93f1-5200-4b8c-906c-a3f5ad15ab10,EXCLUDE,EXCLUDE
01636194-338f-4d11-a8c1-b769cca54bda,EXCLUDE,EXCLUDE
01639886-11e3-4c39-8e80-220eed10d8c4,INCLUDE,INCLUDE
0172a4a3-2d18-4673-b484-fe76e7b9d001,EXCLUDE,EXCLUDE
01ba28aa-392c-408c-9a21-bf9a3d8f4ebf,EXCLUDE,EXCLUDE
01c31d81-d3a6-41ee-9fec-40ac2f0c779d,EXCLUDE,EXCLUDE
01c74fbf-8237-4888-bde4-b432f2933ef2,EXCLUDE,EXCLUDE
01c7fc1f-eb2e-432e-b69e-7e2bb874eb46,EXCLUDE,EXCLUDE
01cf38b5-2331-41f8-93fe-f0b01788237e,INCLUDE,INCLUDE
01dcae9f-1544-4cf5-a247-a0d640ac222f,EXCLUDE,EXCLUDE
01e7554e-01f9-4de5-9a6d-8ad58f26eb37,INCLUDE,INCLUDE
01ea27cb-a40d-4980-a1e5-31c5f5a3b06b,EXCLUDE,EXCLUDE
01eede5b-bfad-4444-8ae3-512f4104fa6b,EXCLUDE,EXCLUDE
01f6dbdd-bc72-421d-a2dc-f642989ca351,INCLUDE,EXCLUDE
01fa27e1-e4b0-4706-b437-b7ddb4a608b8,EXCLUDE,EXCLUDE
02026182-c497-411e-9b69-111710965471,INCLUDE,INCLUDE
020894f0-d5f9-4cab-9309-d4ae210545ce,INCLUDE,INCLUDE
021f3659-b921-42de-a716-839982a24352,INCLUDE,INCLUDE
0254312c-61eb-444d-8292-e7d9439a9caf,EXCLUDE,EXCLUDE
02586238-a475-444d-882a-cb643487fe11,EXCLUDE,EXCLUDE
025c0bdc-4d36-496e-adf6-de5fca985106,INCLUDE,INCLUDE
02656b0c-eb97-4ecc-a763-81006d87b6d1,EXCLUDE,EXCLUDE
027d5ee9-9034-4a91-8a8b-4f145ae48dc9,INCLUDE,INCLUDE
027f0f04-6199-48b0-94f1-2266ba03dbfa,EXCLUDE,EXCLUDE
02845b27-17c3-4c1a-b8ad-01e26fc184a9,EXCLUDE,EXCLUDE
0295faa1-0055-480c-a73e-ea05e29aa3ea,INCLUDE,INCLUDE
02a86fc1-bfb7-492f-a8b1-2cb38a51f0bc,EXCLUDE,EXCLUDE
02aad0a2-6871-400c-93f2-951f3cc7504c,EXCLUDE,EXCLUDE
02c61de6-5cf8-412d-a4cf-890becbb921f,INCLUDE,INCLUDE
02c80aa2-1936-4166-a495-e9632362eb82,EXCLUDE,EXCLUDE
02c9abcc-5bf8-42e1-82a9-01e19421a296,INCLUDE,INCLUDE
02d11886-4295-4c77-9e2e-f5010356bb0f,EXCLUDE,EXCLUDE
02d727c7-0e4b-4e4d-8fa0-d71bb5c27090,EXCLUDE,EXCLUDE
02dfca89-6fd9-4192-acfa-aac1d200f4ac,EXCLUDE,EXCLUDE
02f484b5-e5a9-4741-a39e-fd27c68ad10c,INCLUDE,INCLUDE
02fb67d0-d02c-4c3e-9d24-4bf69813686e,EXCLUDE,INCLUDE
03206b17-f7e2-4b5f-9368-400e0e6c12d8,EXCLUDE,EXCLUDE
032bb421-68eb-4fd6-87e0-7697eafc72aa,EXCLUDE,EXCLUDE
033871dd-dc8c-4dfe-8d82-d8e7a65b94a4,EXCLUDE,EXCLUDE
033eefdc-1a2d-4837-b209-16c3e2122e25,EXCLUDE,EXCLUDE
0342ceb3-d492-482b-bddf-b9facd3ee25d,EXCLUDE,EXCLUDE
03447d40-3c28-4793-b699-62603e5f5f6c,INCLUDE,INCLUDE
034a7ff3-3523-4a37-b844-6c217f0e6e65,EXCLUDE,EXCLUDE
03565ab2-43cc-4171-920b-0c45e6ad87ec,INCLUDE,INCLUDE
036d8d2e-c471-4bdd-b3ff-ccbba20bd9ef,EXCLUDE,EXCLUDE
0380cc7b-4959-4232-9755-cdbe157d0579,EXCLUDE,EXCLUDE
038b45a9-14c8-4ac5-8696-e8d0b1acd714,INCLUDE,INCLUDE
03a74a21-fb87-43d7-871f-1b3c33f58fdd,EXCLUDE,INCLUDE
03ab4cee-eeb4-4d3e-8766-5398a3e570f1,INCLUDE,INCLUDE
03b2666c-7f00-4a1c-a33c-0f50261c1490,INCLUDE,EXCLUDE
03bbdfe8-899a-4e07-b008-994b51a55305,INCLUDE,EXCLUDE
03c14c67-cd6d-4f33-987e-c189e244f4a8,EXCLUDE,EXCLUDE
03c9d2de-d2e8-4ded-a4ba-ad4c432debc9,INCLUDE,INCLUDE
03d787d2-dfd1-4d09-9d90-efe00ba4ea9c,INCLUDE,INCLUDE
03d7a8fd-bbd9-4ed0-a39f-e971721dd1e4,EXCLUDE,EXCLUDE
03e0d348-ab05-408e-8064-09e00850d69f,INCLUDE,INCLUDE
03e9de9f-2942-4ffc-84dc-0e1ced6463b8,INCLUDE,INCLUDE
03f713b1-4bca-4d64-8f0b-9ec6cfe3642e,EXCLUDE,EXCLUDE
04210921-0856-4565-9a0d-a8cb3b0b65bd,EXCLUDE,EXCLUDE
042c923e-d1bb-44dd-aeb8-d2ca4179caba,EXCLUDE,INCLUDE
043522ba-5999-41f9-be7b-0a9c96696d1b,EXCLUDE,EXCLUDE
043baf36-ff41-4212-9424-dbd20c723d38,INCLUDE,INCLUDE
044525e5-790c-4865-8b1c-ecf9cf9e7cb3,EXCLUDE,EXCLUDE
04452c95-9d8e-4bc6-b10f-b45c8149eccf,INCLUDE,EXCLUDE
044cf67c-9a47-4c16-96f4-7006b84bf1f6,EXCLUDE,EXCLUDE
