completed_articles,iterations,articles_with_error,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,specificity,mcc,balanced_accuracy,miss_rate,f2_score,wss,wss@95,npv,g_mean,general_performance_score,ProjectID,ProjectName
1089,1,0,86,103,889,11,0.8953,0.455,0.8866,0.6014,0.8962,0.7944,0.8914,0.1134,0.7452,0.713,0.7764,0.9878,0.8914,0.8914,7390e267-6a30-4d3a-b1eb-8e4798df9839,St-U0-Cn-Rn-Exn-Inn-A-SH0-EXPn-RL4SE
2683,1,0,94,240,2292,57,0.8893,0.2814,0.6225,0.3876,0.9052,0.6842,0.7639,0.3775,0.5011,0.498,0.8255,0.9757,0.7507,0.7377,83ebf41c-bb80-4558-8f11-c9c3e47122dc,St-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-LC
205,1,0,52,14,78,61,0.6341,0.7879,0.4602,0.581,0.8478,0.6639,0.654,0.5398,0.5019,0.1382,0.628,0.5612,0.6246,0.5966,b2695686-734f-482c-8a40-3508492e66f7,St-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-MPM4CPS
292,1,0,22,31,205,34,0.7774,0.4151,0.3929,0.4037,0.8686,0.6336,0.6308,0.6071,0.3971,0.2114,0.7685,0.8577,0.5842,0.541,c1fd603d-15f6-4e59-b43c-fb5251f0354d,St-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-MOBILEMDE
875,1,0,21,42,778,34,0.9131,0.3333,0.3818,0.3559,0.9488,0.6552,0.6653,0.6182,0.371,0.3098,0.878,0.9581,0.6019,0.5445,25606a31-f3f3-4279-9a25-f95f5ea11408,St-U0-Cn-Rn-Exn-Inn-A-SH0-EXPn-UPDATECOLLABMDE
205,1,0,40,14,88,63,0.6244,0.7407,0.3883,0.5096,0.8627,0.6425,0.6255,0.6117,0.4292,0.1249,0.6866,0.5828,0.5788,0.5356,8eee6c8b-7885-4dd4-9c67-c9c938fa9897,Std-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-MPM4CPS
292,1,0,27,5,231,29,0.8836,0.8438,0.4821,0.6136,0.9788,0.7905,0.7305,0.5179,0.5273,0.3726,0.8404,0.8885,0.687,0.6461,b039e7fc-f857-4f0f-beda-3b4240079838,Std-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-MOBILEMDE
875,1,0,35,74,744,22,0.8903,0.3211,0.614,0.4217,0.9095,0.6956,0.7618,0.386,0.5193,0.4895,0.8254,0.9713,0.7473,0.7331,2df64c40-0b3f-4643-9567-353a9b3d28ce,Std-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-UPDATECOLLABMDE
1560,1,0,94,48,1169,249,0.8096,0.662,0.2741,0.3876,0.9606,0.6689,0.6173,0.7259,0.3104,0.183,0.859,0.8244,0.5131,0.4264,fbc4b433-421b-4724-97dd-df79aa04a4c3,St-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-GAMESE
1560,1,0,95,48,1184,233,0.8199,0.6643,0.2896,0.4034,0.961,0.677,0.6253,0.7104,0.3265,0.198,0.8583,0.8356,0.5276,0.4451,e5b40195-0a25-4157-9597-7573c6466822,Std-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-GAMESE
1089,1,0,81,100,895,13,0.8962,0.4475,0.8617,0.5891,0.8995,0.7871,0.8806,0.1383,0.7271,0.6955,0.7838,0.9857,0.8804,0.8802,2e17510b-dc4f-4573-9554-681ac752804d,Std-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-RL4SE
2683,1,0,97,160,2373,53,0.9206,0.3774,0.6467,0.4767,0.9368,0.7278,0.7918,0.3533,0.5659,0.5509,0.8542,0.9782,0.7783,0.7652,a096e345-ad32-42e2-b944-573579fcf0b3,Std-U0-Cn-Rn-EXn-INn-A-SH0-EXPn-LC
1089,1,0,85,105,890,9,0.8953,0.4474,0.9043,0.5986,0.8945,0.7955,0.8994,0.0957,0.7509,0.7298,0.7755,0.99,0.8994,0.8993,f71e625e-4518-4bc1-8dbe-d5af3f723e07,Std-U1-Cn-Rn-EXn-INn-A-SH0-EXPn-RL4SE-FINAL
857,1,0,74,48,732,3,0.9405,0.6066,0.961,0.7437,0.9385,0.8681,0.9498,0.039,0.8605,0.8187,0.8076,0.9959,0.9497,0.9496,0c61fb04-3852-4be7-a591-44a09e28e03b,Std-U2-Cn-Rn-EXn-INn-A-SH0-EXPn-RL4SE-FINAL
901,1,0,81,64,751,5,0.9234,0.5586,0.9419,0.7013,0.9215,0.8452,0.9317,0.0581,0.8282,0.7809,0.7891,0.9934,0.9316,0.9316,22c37276-b207-4b5f-a971-07ee81e32163,Std-U3-Cn-Rn-EXn-INn-A-SH0-EXPn-RL4SE-FINAL
1089,1,0,86,129,866,8,0.8742,0.4,0.9149,0.5566,0.8704,0.777,0.8926,0.0851,0.7276,0.7175,0.7526,0.9908,0.8923,0.8921,7e66cc56-0421-4edb-b4bb-f22a3bcf755c,Std-U0-Cy-Rn-EXn-INn-A-SH0-EXPn-RL4SE-FINAL
1089,1,0,85,142,853,9,0.8613,0.3744,0.9043,0.5296,0.8573,0.7633,0.8808,0.0957,0.7048,0.6958,0.7416,0.9896,0.8805,0.8801,4adf729d-353c-43b9-b25e-143afc605f5d,Std-U1-Cy-Rn-EXn-INn-A-SH0-EXPn-RL4SE-FINAL
829,1,0,76,53,697,3,0.9324,0.5891,0.962,0.7308,0.9293,0.861,0.9457,0.038,0.8539,0.8064,0.7944,0.9957,0.9455,0.9454,f7bc5d5f-c6cb-4949-a923-2aa32a156710,Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-RL4SE-FINAL
853,1,0,79,72,698,4,0.9109,0.5232,0.9518,0.6752,0.9065,0.8332,0.9292,0.0482,0.8178,0.7748,0.773,0.9943,0.9289,0.9286,bff14c8b-5f9b-4857-bf60-236626978566,Std-U3-Cy-Rn-EXn-INn-A-SH0-EXPn-RL4SE-FINAL
2683,1,0,100,207,2326,50,0.9042,0.3257,0.6667,0.4376,0.9183,0.7111,0.7925,0.3333,0.5513,0.5522,0.8356,0.979,0.7824,0.7725,38360a5c-ba2a-47b7-ad6d-a25067fc7f58,Std-U1-Cn-Rn-EXn-INn-A-SH0-EXPn-LC-FINAL
2143,1,0,77,71,1977,18,0.9585,0.5203,0.8105,0.6337,0.9653,0.8149,0.8879,0.1895,0.7292,0.7415,0.8809,0.991,0.8845,0.8812,c4178e0f-5dd5-4b56-9e25-0c6af5516f25,Std-U2-Cn-Rn-EXn-INn-A-SH0-EXPn-LC-FINAL
2192,1,0,82,76,2015,19,0.9567,0.519,0.8119,0.6332,0.9637,0.8143,0.8878,0.1881,0.7295,0.7398,0.8779,0.9907,0.8845,0.8813,d594e24b-fdfa-4504-8e8f-40f2e10b7ab0,Std-U3-Cn-Rn-EXn-INn-A-SH0-EXPn-LC-FINAL
2683,1,0,100,193,2340,50,0.9094,0.3413,0.6667,0.4515,0.9238,0.7175,0.7952,0.3333,0.5599,0.5575,0.8408,0.9791,0.7848,0.7744,e5a0304c-7b16-41c4-8658-ff72e6682706,Std-U0-Cy-Rn-EXn-INn-A-SH0-EXPn-LC-FINAL
2683,1,0,107,222,2311,43,0.9012,0.3252,0.7133,0.4468,0.9124,0.7191,0.8128,0.2867,0.5759,0.5907,0.8274,0.9817,0.8067,0.8007,d69debe7-1620-4fbf-9aa0-832397ee9331,Std-U1-Cy-Rn-EXn-INn-A-SH0-EXPn-LC-FINAL
2112,1,0,70,68,1956,18,0.9593,0.5072,0.7955,0.6195,0.9664,0.808,0.8809,0.2045,0.7143,0.7301,0.8847,0.9909,0.8768,0.8726,f823f6a6-0284-48cd-8bb6-542e4338845f,Std-U2-Cy-Rn-EXn-INn-A-SH0-EXPn-LC-FINAL
2140,1,0,86,87,1951,16,0.9519,0.4971,0.8431,0.6255,0.9573,0.8128,0.9002,0.1569,0.7401,0.7623,0.8692,0.9919,0.8984,0.8966,70f750bb-16ac-4f1b-93a8-285a35e708eb,Std-U3-Cy-Rn-EXn-INn-A-SH0-EXPn-LC-FINAL
292,1,0,23,4,233,32,0.8767,0.8519,0.4182,0.561,0.9831,0.7708,0.7007,0.5818,0.4656,0.3257,0.8575,0.8792,0.6412,0.5868,b67b1b29-b8c4-4194-b6ff-9d62521c8d0b,Std-U1-Cn-Rn-EXn-INn-A-SH0-EXPn-MOBILEMDE-FINAL
260,1,0,18,2,220,20,0.9154,0.9,0.4737,0.6207,0.991,0.808,0.7323,0.5263,0.5233,0.3968,0.8731,0.9167,0.6851,0.641,c8a22ad9-88d3-4371-92a8-e80fbe7cf0cb,Std-U2-Cn-Rn-EXn-INn-A-SH0-EXPn-MOBILEMDE-FINAL
