,SIMPLE_Decision,SELECTION_Decision,COT_Decision
003006a3-56cd-45bc-84aa-d1fc9cbfb817,EXCLUDE,EXCLUDE,EXCLUDE
003a5dc9-6e67-497c-b736-9d0ee38b4eaa,INCLUDE,EXCLUDE,EXCLUDE
0044b44f-b7a7-4b2f-a4f6-b12634a9d9d5,EXCLUDE,EXCLUDE,EXCLUDE
004db355-7ade-4636-b377-47bf8035521e,EXCLUDE,EXCLUDE,EXCLUDE
004fac83-6fd8-4b86-a9df-eadd38f850df,INCLUDE,INCLUDE,INCLUDE
00532dbf-d34d-4b0e-bbb5-5495fc30e504,INCLUDE,EXCLUDE,EXCLUDE
00543b34-093e-405c-8fd1-1252cbb84ac8,EXCLUDE,EXCLUDE,EXCLUDE
0060aa2a-b3fa-4c0d-8bb4-81e0515fe2b8,INCLUDE,INCLUDE,INCLUDE
007e3285-b7df-4960-911d-c1fbbf350c5d,EXCLUDE,EXCLUDE,EXCLUDE
007fb201-0385-4241-ab74-e295f85cad2c,EXCLUDE,EXCLUDE,EXCLUDE
008156e9-edb8-4509-9883-968253317d1d,INCLUDE,EXCLUDE,EXCLUDE
009080e4-70c2-468a-a49f-d4665303d445,INCLUDE,EXCLUDE,INCLUDE
00924336-5efe-4585-9c2e-aad1e45d008a,INCLUDE,EXCLUDE,EXCLUDE
009500fd-6950-490b-97d7-f5bece93b41f,EXCLUDE,EXCLUDE,EXCLUDE
00a6a860-e935-438d-9d02-059992b8036f,EXCLUDE,EXCLUDE,EXCLUDE
00a7256f-56e7-43d4-94c8-ae780699433f,EXCLUDE,EXCLUDE,EXCLUDE
00aa14af-6e7f-4f2c-bf97-b2e232371f57,INCLUDE,EXCLUDE,EXCLUDE
00e106c6-8c2d-4cf9-9c1d-272b6f9a2796,EXCLUDE,EXCLUDE,EXCLUDE
00e5a604-b557-4008-bc78-e3e9873f01e9,EXCLUDE,EXCLUDE,EXCLUDE
00ee4616-1321-4f76-93e8-84ee98ddcb4e,INCLUDE,EXCLUDE,EXCLUDE
00fc68df-e17c-45fc-b759-8b4a12d1024b,INCLUDE,INCLUDE,INCLUDE
012a56cb-01d9-48a3-9d2f-5398a1c6f300,INCLUDE,EXCLUDE,EXCLUDE
0131a01c-1b8f-42b0-9716-2ba8e63802c5,INCLUDE,INCLUDE,INCLUDE
01329db2-16c5-4012-a917-6569df607c5a,INCLUDE,INCLUDE,INCLUDE
0152a527-4204-4a21-b461-17c6b8ef07d4,EXCLUDE,EXCLUDE,EXCLUDE
015d93f1-5200-4b8c-906c-a3f5ad15ab10,EXCLUDE,EXCLUDE,EXCLUDE
01636194-338f-4d11-a8c1-b769cca54bda,EXCLUDE,EXCLUDE,EXCLUDE
01639886-11e3-4c39-8e80-220eed10d8c4,INCLUDE,INCLUDE,INCLUDE
0172a4a3-2d18-4673-b484-fe76e7b9d001,INCLUDE,EXCLUDE,EXCLUDE
01ba28aa-392c-408c-9a21-bf9a3d8f4ebf,EXCLUDE,EXCLUDE,EXCLUDE
01c31d81-d3a6-41ee-9fec-40ac2f0c779d,EXCLUDE,EXCLUDE,EXCLUDE
01c74fbf-8237-4888-bde4-b432f2933ef2,EXCLUDE,EXCLUDE,EXCLUDE
01c7fc1f-eb2e-432e-b69e-7e2bb874eb46,EXCLUDE,EXCLUDE,EXCLUDE
01cf38b5-2331-41f8-93fe-f0b01788237e,INCLUDE,INCLUDE,INCLUDE
01dcae9f-1544-4cf5-a247-a0d640ac222f,INCLUDE,EXCLUDE,EXCLUDE
01e7554e-01f9-4de5-9a6d-8ad58f26eb37,INCLUDE,INCLUDE,INCLUDE
01f6dbdd-bc72-421d-a2dc-f642989ca351,INCLUDE,INCLUDE,EXCLUDE
01fa27e1-e4b0-4706-b437-b7ddb4a608b8,EXCLUDE,EXCLUDE,EXCLUDE
02026182-c497-411e-9b69-111710965471,INCLUDE,INCLUDE,INCLUDE
021f3659-b921-42de-a716-839982a24352,INCLUDE,INCLUDE,INCLUDE
02586238-a475-444d-882a-cb643487fe11,INCLUDE,EXCLUDE,EXCLUDE
025c0bdc-4d36-496e-adf6-de5fca985106,INCLUDE,INCLUDE,INCLUDE
027d5ee9-9034-4a91-8a8b-4f145ae48dc9,INCLUDE,INCLUDE,INCLUDE
027f0f04-6199-48b0-94f1-2266ba03dbfa,INCLUDE,EXCLUDE,EXCLUDE
02845b27-17c3-4c1a-b8ad-01e26fc184a9,INCLUDE,EXCLUDE,EXCLUDE
0295faa1-0055-480c-a73e-ea05e29aa3ea,INCLUDE,INCLUDE,INCLUDE
02a86fc1-bfb7-492f-a8b1-2cb38a51f0bc,EXCLUDE,EXCLUDE,EXCLUDE
02c80aa2-1936-4166-a495-e9632362eb82,EXCLUDE,EXCLUDE,EXCLUDE
02c9abcc-5bf8-42e1-82a9-01e19421a296,INCLUDE,INCLUDE,INCLUDE
02d11886-4295-4c77-9e2e-f5010356bb0f,EXCLUDE,EXCLUDE,EXCLUDE
02dfca89-6fd9-4192-acfa-aac1d200f4ac,EXCLUDE,EXCLUDE,EXCLUDE
02f484b5-e5a9-4741-a39e-fd27c68ad10c,INCLUDE,INCLUDE,INCLUDE
02fb67d0-d02c-4c3e-9d24-4bf69813686e,INCLUDE,EXCLUDE,INCLUDE
033871dd-dc8c-4dfe-8d82-d8e7a65b94a4,INCLUDE,EXCLUDE,EXCLUDE
0342ceb3-d492-482b-bddf-b9facd3ee25d,EXCLUDE,EXCLUDE,EXCLUDE
03447d40-3c28-4793-b699-62603e5f5f6c,INCLUDE,INCLUDE,INCLUDE
034a7ff3-3523-4a37-b844-6c217f0e6e65,INCLUDE,EXCLUDE,EXCLUDE
036d8d2e-c471-4bdd-b3ff-ccbba20bd9ef,EXCLUDE,EXCLUDE,EXCLUDE
0380cc7b-4959-4232-9755-cdbe157d0579,EXCLUDE,EXCLUDE,EXCLUDE
038b45a9-14c8-4ac5-8696-e8d0b1acd714,INCLUDE,INCLUDE,INCLUDE
03a74a21-fb87-43d7-871f-1b3c33f58fdd,INCLUDE,EXCLUDE,INCLUDE
03ab4cee-eeb4-4d3e-8766-5398a3e570f1,INCLUDE,INCLUDE,INCLUDE
03c14c67-cd6d-4f33-987e-c189e244f4a8,EXCLUDE,EXCLUDE,EXCLUDE
03c9d2de-d2e8-4ded-a4ba-ad4c432debc9,INCLUDE,INCLUDE,INCLUDE
03d787d2-dfd1-4d09-9d90-efe00ba4ea9c,INCLUDE,INCLUDE,INCLUDE
03d7a8fd-bbd9-4ed0-a39f-e971721dd1e4,INCLUDE,EXCLUDE,EXCLUDE
03e9de9f-2942-4ffc-84dc-0e1ced6463b8,INCLUDE,INCLUDE,INCLUDE
03f713b1-4bca-4d64-8f0b-9ec6cfe3642e,EXCLUDE,EXCLUDE,EXCLUDE
04210921-0856-4565-9a0d-a8cb3b0b65bd,INCLUDE,EXCLUDE,EXCLUDE
042c923e-d1bb-44dd-aeb8-d2ca4179caba,INCLUDE,EXCLUDE,INCLUDE
043baf36-ff41-4212-9424-dbd20c723d38,INCLUDE,INCLUDE,INCLUDE
044525e5-790c-4865-8b1c-ecf9cf9e7cb3,INCLUDE,EXCLUDE,EXCLUDE
044cf67c-9a47-4c16-96f4-7006b84bf1f6,INCLUDE,EXCLUDE,EXCLUDE
045945be-f11d-4a45-ba67-ad7a14651503,EXCLUDE,EXCLUDE,EXCLUDE
04669c7e-2212-4176-92b4-b8a077f8a560,EXCLUDE,EXCLUDE,EXCLUDE
0472092b-df4d-4a28-9cf8-7d619abfca08,INCLUDE,INCLUDE,INCLUDE
04775a8d-e6e5-439b-9533-bc27b232845e,EXCLUDE,EXCLUDE,EXCLUDE
048337db-018b-4d7b-9cde-1a3e2790cc83,INCLUDE,INCLUDE,INCLUDE
04847798-c7d9-4561-9d3a-eac342911624,EXCLUDE,EXCLUDE,EXCLUDE
048a194e-68cc-4379-9324-ca3040db6341,EXCLUDE,EXCLUDE,EXCLUDE
048ba484-f732-4ea4-b97e-2c9ca913d57c,EXCLUDE,EXCLUDE,EXCLUDE
049c8699-68eb-44be-9359-7577f4bf5123,INCLUDE,EXCLUDE,EXCLUDE
04a67a49-6b91-4634-a330-832c148178d8,INCLUDE,INCLUDE,INCLUDE
04c6c6a9-3ec2-4bb1-b8e5-b0a9baf1840d,EXCLUDE,EXCLUDE,EXCLUDE
04ca8f16-9a67-422f-b92a-f1b9be517096,INCLUDE,EXCLUDE,INCLUDE
04efd3ac-2a4e-48e5-9ff1-3f8386d1f325,EXCLUDE,EXCLUDE,EXCLUDE
04f59008-cdec-44be-8b89-0c406a5f921b,EXCLUDE,EXCLUDE,EXCLUDE
04fcf5e3-d7c7-4ecf-b1e7-8d887a60b8a9,EXCLUDE,EXCLUDE,EXCLUDE
0500916f-9e25-4d6f-a254-01d330fae1ad,INCLUDE,INCLUDE,INCLUDE
05097d31-10cb-45e3-873b-29bdee27d448,INCLUDE,EXCLUDE,EXCLUDE
050a1bed-47f0-4a8b-851c-c425e59574a4,INCLUDE,EXCLUDE,EXCLUDE
051db7f8-e7dc-4225-b0aa-9061e31a94d6,INCLUDE,EXCLUDE,EXCLUDE
051e3d27-a962-4095-8373-9a0f335b9f2e,INCLUDE,INCLUDE,EXCLUDE
051ea633-5026-4783-9f33-859d9c786bc9,INCLUDE,INCLUDE,INCLUDE
051f57cb-282c-4aae-8a9c-43b8918fe866,INCLUDE,EXCLUDE,EXCLUDE
052b244c-f338-42a6-b8e2-4e744dd9a4fb,EXCLUDE,EXCLUDE,EXCLUDE
